phone,cat,poa,moa,voicing,back,height,rounding
b,con,0,0,1,NAN,NAN,NAN
d,con,3,0,1,NAN,NAN,NAN
g,con,7,0,1,NAN,NAN,NAN
p,con,0,0,0,NAN,NAN,NAN
t,con,3,0,0,NAN,NAN,NAN
k,con,7,0,0,NAN,NAN,NAN
dx,con,3,3,1,NAN,NAN,NAN
q,con,10,0,0,NAN,NAN,NAN
bcl,sil,NAN,NAN,NAN,NAN,NAN,NAN
dcl,sil,NAN,NAN,NAN,NAN,NAN,NAN
gcl,sil,NAN,NAN,NAN,NAN,NAN,NAN
pcl,sil,NAN,NAN,NAN,NAN,NAN,NAN
tcl,sil,NAN,NAN,NAN,NAN,NAN,NAN
kcl,sil,NAN,NAN,NAN,NAN,NAN,NAN
tck,sil,NAN,NAN,NAN,NAN,NAN,NAN
jh,con,4,4,1,NAN,NAN,NAN
ch,con,4,4,0,NAN,NAN,NAN
s,con,3,4,0,NAN,NAN,NAN
sh,con,4,4,0,NAN,NAN,NAN
z,con,3,4,1,NAN,NAN,NAN
zh,con,4,4,1,NAN,NAN,NAN
f,con,1,4,0,NAN,NAN,NAN
th,con,2,4,0,NAN,NAN,NAN
v,con,1,4,1,NAN,NAN,NAN
dh,con,2,4,1,NAN,NAN,NAN
m,con,0,1,1,NAN,NAN,NAN
n,con,3,1,1,NAN,NAN,NAN
ng,con,7,1,1,NAN,NAN,NAN
em,con,0,1,1,NAN,NAN,NAN
en,con,3,1,1,NAN,NAN,NAN
eng,con,7,1,1,NAN,NAN,NAN
nx,con,3,1,1,NAN,NAN,NAN
l,con,3,7,1,NAN,NAN,NAN
r,con,3,6,1,NAN,NAN,NAN
w,con,1,6,1,NAN,NAN,NAN
y,con,6,6,1,NAN,NAN,NAN
hh,con,10,4,0,NAN,NAN,NAN
hv,con,10,4,1,NAN,NAN,NAN
el,con,3,7,1,NAN,NAN,NAN
iy,vow,NAN,NAN,NAN,0,0,0
ih,vow,NAN,NAN,NAN,1,1,0
eh,vow,NAN,NAN,NAN,0,4,0
ey,vow,NAN,NAN,NAN,0,2,0
ae,vow,NAN,NAN,NAN,0,5,0
aa,vow,NAN,NAN,NAN,0,6,0
aw,vow,NAN,NAN,NAN,0,6,1
ay,vow,NAN,NAN,NAN,0,6,0
ah,vow,NAN,NAN,NAN,4,4,0
ao,vow,NAN,NAN,NAN,4,4,1
oy,vow,NAN,NAN,NAN,1,1,0
ow,vow,NAN,NAN,NAN,3,1,1
uh,vow,NAN,NAN,NAN,3,1,1
uw,vow,NAN,NAN,NAN,4,0,1
ux,vow,NAN,NAN,NAN,2,0,1
er,vow,NAN,NAN,NAN,1,1,0
ax,vow,NAN,NAN,NAN,2,3,0
ix,vow,NAN,NAN,NAN,2,0,0
axr,vow,NAN,NAN,NAN,1,1,0
ax-h,vow,NAN,NAN,NAN,2,3,0
pau,sil,NAN,NAN,NAN,NAN,NAN,NAN
epi,sil,NAN,NAN,NAN,NAN,NAN,NAN
h#,sil,NAN,NAN,NAN,NAN,NAN,NAN
1,sil,NAN,NAN,NAN,NAN,NAN,NAN
2,sil,NAN,NAN,NAN,NAN,NAN,NAN
